"","V1","V1","precinct","date","description","latitude","longitude"
"278",796627,4567497,30,2014-11-26,"ASSAULT 3 & RELATED OFFENSES",40.83113,-73.9469
"279",498850,1765119,79,2009-05-07,"INTOXICATED & IMPAIRED DRIVING",40.69123,-73.93968
"280",124850,4554423,104,2014-11-16,"CRIMINAL MISCHIEF & RELATED OF",40.70922,-73.91007
"281",923670,4403022,34,2014-08-01,"MISCELLANEOUS PENAL LAW",40.86195,-73.92714
"282",929448,1993514,30,2009-10-10,"DANGEROUS DRUGS",40.82591,-73.94712
"283",624688,6518705,79,2019-01-06,"PETIT LARCENY",40.68567,-73.94895
"284",879118,4525552,24,2014-10-25,"ROBBERY",40.79578,-73.9654
"285",754009,4318897,13,2014-06-04,"OFFENSES AGAINST THE PERSON",40.73137,-73.98256
"286",727128,1360748,115,2008-07-23,"HARRASSMENT 2",40.75335,-73.88876
"287",434147,1147875,14,2008-02-28,"GRAND LARCENY",40.75043,-73.98928
"288",965585,4428035,106,2014-08-18,"GRAND LARCENY OF MOTOR VEHICLE",40.68444,-73.82802
"289",431650,4913295,73,2015-08-23,"FELONY ASSAULT",40.65781,-73.90868
"290",459090,5393034,63,2016-08-20,"CRIMINAL MISCHIEF & RELATED OF",40.61316,-73.92478
"291",781476,2189486,112,2010-03-06,NA,40.72704,-73.85392
"292",866253,6258504,112,2018-06-26,"PETIT LARCENY",40.7306,-73.86341
"293",197759,5923502,79,2017-10-05,"HARRASSMENT 2",40.68162,-73.95797
"294",922812,1621001,25,2009-01-21,"DANGEROUS DRUGS",40.79897,-73.94137
"295",428996,5480304,44,2016-10-24,"ASSAULT 3 & RELATED OFFENSES",40.81901,-73.92703
"296",775169,6385714,71,2018-09-28,"ASSAULT 3 & RELATED OFFENSES",40.66245,-73.94936
"297",580105,6534314,122,2019-01-19,"CRIMINAL MISCHIEF & RELATED OF",40.57503,-74.1183
"298",822698,768628,106,2007-06-17,"HARRASSMENT 2",40.67890697,-73.834286783
"299",764759,3302850,43,2012-05-16,"DANGEROUS DRUGS",40.83725,-73.87151
"300",752475,5754587,46,2017-06-02,"PETIT LARCENY",40.85555,-73.90913
"301",757820,5375678,62,2016-08-08,"CRIMINAL MISCHIEF & RELATED OF",40.61975,-73.98957
"302",89784,4807501,71,2015-06-10,"HARRASSMENT 2",40.66749,-73.95623
"303",697053,2883227,9,2011-07-16,"ASSAULT 3 & RELATED OFFENSES",40.72279,-73.98135
"304",718995,7067689,13,2020-03-30,"FELONY ASSAULT",40.73972,-73.97648
"305",528827,2863853,5,2011-07-03,"BURGLARY",40.71383,-74.004
"306",968201,3238951,20,2012-04-01,"CRIMINAL MISCHIEF & RELATED OF",40.78152,-73.97952
"307",810150,6925186,90,2019-11-27,"ASSAULT 3 & RELATED OFFENSES",40.70992,-73.96395
